threshold,far,frr,tar
-0.06392768,0.88146912,0.00435219,0.99564781
-0.06369432,0.88113523,0.00435219,0.99564781
-0.06369232,0.88080134,0.00435219,0.99564781
-0.06360584,0.88046745,0.00435219,0.99564781
-0.06357495,0.88013356,0.00435219,0.99564781
-0.06351286,0.87979967,0.00435219,0.99564781
-0.06351040,0.87946578,0.00435219,0.99564781
-0.06349158,0.87913189,0.00435219,0.99564781
-0.06317174,0.87879800,0.00435219,0.99564781
-0.06310359,0.87846411,0.00435219,0.99564781
-0.06301990,0.87813022,0.00435219,0.99564781
-0.06299643,0.87779633,0.00435219,0.99564781
-0.06290957,0.87746244,0.00435219,0.99564781
-0.06243258,0.87712855,0.00435219,0.99564781
-0.06237041,0.87679466,0.00435219,0.99564781
-0.06234799,0.87646077,0.00435219,0.99564781
-0.06218386,0.87612688,0.00435219,0.99564781
-0.06216999,0.87579299,0.00435219,0.99564781
-0.06205205,0.87545910,0.00435219,0.99564781
-0.06202181,0.87512521,0.00435219,0.99564781
-0.06194784,0.87479132,0.00435219,0.99564781
-0.06185849,0.87445743,0.00435219,0.99564781
-0.06152549,0.87412354,0.00435219,0.99564781
-0.06137985,0.87378965,0.00435219,0.99564781
-0.06130066,0.87345576,0.00435219,0.99564781
-0.06109697,0.87312187,0.00435219,0.99564781
-0.06107100,0.87278798,0.00435219,0.99564781
-0.06104765,0.87245409,0.00435219,0.99564781
-0.06098594,0.87212020,0.00435219,0.99564781
-0.06092545,0.87178631,0.00435219,0.99564781
-0.06084308,0.87145242,0.00435219,0.99564781
-0.06080135,0.87111853,0.00435219,0.99564781
-0.06075495,0.87078464,0.00435219,0.99564781
-0.06074936,0.87045075,0.00435219,0.99564781
-0.06070314,0.87011686,0.00435219,0.99564781
-0.06066851,0.86978297,0.00435219,0.99564781
-0.06062582,0.86944908,0.00435219,0.99564781
-0.06058408,0.86911519,0.00435219,0.99564781
-0.06051583,0.86878130,0.00435219,0.99564781
-0.06045422,0.86844741,0.00435219,0.99564781
-0.06042366,0.86811352,0.00435219,0.99564781
-0.06018198,0.86777963,0.00435219,0.99564781
-0.06017800,0.86744574,0.00435219,0.99564781
-0.06012751,0.86711185,0.00435219,0.99564781
-0.05996905,0.86677796,0.00435219,0.99564781
-0.05992676,0.86644407,0.00435219,0.99564781
-0.05986321,0.86611018,0.00435219,0.99564781
-0.05979097,0.86577629,0.00435219,0.99564781
-0.05946479,0.86544240,0.00435219,0.99564781
-0.05944320,0.86510851,0.00435219,0.99564781
-0.05941572,0.86477462,0.00435219,0.99564781
-0.05935214,0.86444073,0.00435219,0.99564781
-0.05925441,0.86410684,0.00435219,0.99564781
-0.05923714,0.86377295,0.00435219,0.99564781
-0.05916012,0.86343907,0.00435219,0.99564781
-0.05911293,0.86310518,0.00435219,0.99564781
-0.05910625,0.86277129,0.00435219,0.99564781
-0.05905267,0.86243740,0.00435219,0.99564781
-0.05902420,0.86210351,0.00435219,0.99564781
-0.05894354,0.86176962,0.00435219,0.99564781
-0.05893693,0.86143573,0.00435219,0.99564781
-0.05870822,0.86110184,0.00435219,0.99564781
-0.05862198,0.86076795,0.00435219,0.99564781
-0.05858308,0.86043406,0.00435219,0.99564781
-0.05857461,0.86010017,0.00435219,0.99564781
-0.05843540,0.85976628,0.00435219,0.99564781
-0.05833610,0.85943239,0.00435219,0.99564781
-0.05807049,0.85909850,0.00435219,0.99564781
-0.05803924,0.85876461,0.00435219,0.99564781
-0.05794463,0.85843072,0.00435219,0.99564781
-0.05782594,0.85809683,0.00435219,0.99564781
-0.05782519,0.85776294,0.00435219,0.99564781
-0.05733985,0.85742905,0.00435219,0.99564781
-0.05733456,0.85709516,0.00435219,0.99564781
-0.05730095,0.85676127,0.00435219,0.99564781
-0.05723138,0.85642738,0.00435219,0.99564781
-0.05718116,0.85609349,0.00435219,0.99564781
-0.05717253,0.85575960,0.00435219,0.99564781
-0.05712619,0.85542571,0.00435219,0.99564781
-0.05705241,0.85509182,0.00435219,0.99564781
-0.05701070,0.85475793,0.00435219,0.99564781
-0.05697828,0.85442404,0.00435219,0.99564781
-0.05696062,0.85409015,0.00435219,0.99564781
-0.05675109,0.85375626,0.00435219,0.99564781
-0.05659949,0.85342237,0.00435219,0.99564781
-0.05658261,0.85308848,0.00435219,0.99564781
-0.05648352,0.85275459,0.00435219,0.99564781
-0.05597611,0.85242070,0.00435219,0.99564781
-0.05595937,0.85208681,0.00435219,0.99564781
-0.05582797,0.85175292,0.00435219,0.99564781
-0.05580817,0.85141903,0.00435219,0.99564781
-0.05572494,0.85108514,0.00435219,0.99564781
-0.05561614,0.85075125,0.00435219,0.99564781
-0.05559525,0.85041736,0.00435219,0.99564781
-0.05531890,0.85008347,0.00435219,0.99564781
-0.05515385,0.84974958,0.00435219,0.99564781
-0.05511770,0.84941569,0.00435219,0.99564781
-0.05510964,0.84908180,0.00435219,0.99564781
-0.05495659,0.84874791,0.00435219,0.99564781
-0.05474966,0.84841402,0.00435219,0.99564781
-0.05474450,0.84808013,0.00435219,0.99564781
-0.05473154,0.84774624,0.00435219,0.99564781
-0.05469633,0.84741235,0.00435219,0.99564781
-0.05460412,0.84707846,0.00435219,0.99564781
-0.05460057,0.84674457,0.00435219,0.99564781
-0.05454631,0.84641068,0.00435219,0.99564781
-0.05437579,0.84607679,0.00435219,0.99564781
-0.05415216,0.84574290,0.00435219,0.99564781
-0.05411201,0.84540902,0.00435219,0.99564781
-0.05409037,0.84507513,0.00435219,0.99564781
-0.05408125,0.84474124,0.00435219,0.99564781
-0.05398116,0.84440735,0.00435219,0.99564781
-0.05396293,0.84407346,0.00435219,0.99564781
-0.05395805,0.84373957,0.00435219,0.99564781
-0.05387743,0.84340568,0.00435219,0.99564781
-0.05380128,0.84307179,0.00435219,0.99564781
-0.05376799,0.84273790,0.00435219,0.99564781
-0.05363506,0.84240401,0.00435219,0.99564781
-0.05349728,0.84207012,0.00435219,0.99564781
-0.05349525,0.84173623,0.00435219,0.99564781
-0.05347071,0.84140234,0.00435219,0.99564781
-0.05331022,0.84106845,0.00435219,0.99564781
-0.05323188,0.84073456,0.00435219,0.99564781
-0.05323006,0.84040067,0.00435219,0.99564781
-0.05320814,0.84006678,0.00435219,0.99564781
-0.05314722,0.83973289,0.00435219,0.99564781
-0.05311150,0.83939900,0.00435219,0.99564781
-0.05310644,0.83906511,0.00435219,0.99564781
-0.05302361,0.83873122,0.00435219,0.99564781
-0.05297387,0.83839733,0.00435219,0.99564781
-0.05291192,0.83806344,0.00435219,0.99564781
-0.05247784,0.83806344,0.00468698,0.99531302
-0.05246352,0.83772955,0.00468698,0.99531302
-0.05243731,0.83739566,0.00468698,0.99531302
-0.05222801,0.83706177,0.00468698,0.99531302
-0.05198266,0.83672788,0.00468698,0.99531302
-0.05193574,0.83639399,0.00468698,0.99531302
-0.05192254,0.83606010,0.00468698,0.99531302
-0.05191121,0.83572621,0.00468698,0.99531302
-0.05189981,0.83539232,0.00468698,0.99531302
-0.05159717,0.83505843,0.00468698,0.99531302
-0.05148680,0.83472454,0.00468698,0.99531302
-0.05144477,0.83439065,0.00468698,0.99531302
-0.05129107,0.83405676,0.00468698,0.99531302
-0.05127607,0.83372287,0.00468698,0.99531302
-0.05126090,0.83338898,0.00468698,0.99531302
-0.05123786,0.83305509,0.00468698,0.99531302
-0.05116370,0.83272120,0.00468698,0.99531302
-0.05086033,0.83238731,0.00468698,0.99531302
-0.05071350,0.83205342,0.00468698,0.99531302
-0.05066304,0.83171953,0.00468698,0.99531302
-0.05055428,0.83138564,0.00468698,0.99531302
-0.05042271,0.83105175,0.00468698,0.99531302
-0.05036468,0.83071786,0.00468698,0.99531302
-0.05031680,0.83038397,0.00468698,0.99531302
-0.05024405,0.83005008,0.00468698,0.99531302
-0.05023540,0.82971619,0.00468698,0.99531302
-0.05006635,0.82938230,0.00468698,0.99531302
-0.05004040,0.82904841,0.00468698,0.99531302
-0.04986326,0.82871452,0.00468698,0.99531302
-0.04981590,0.82838063,0.00468698,0.99531302
-0.04971662,0.82804674,0.00468698,0.99531302
-0.04958194,0.82771285,0.00468698,0.99531302
-0.04954392,0.82737896,0.00468698,0.99531302
-0.04953757,0.82704508,0.00468698,0.99531302
-0.04943046,0.82671119,0.00468698,0.99531302
